source_layer,analysis,transfer_family,holdout,train_environment,test_environment,train_n,test_n,feature_family,accuracy,balanced_accuracy,chance_reference,chance_adjusted_accuracy,accuracy_95pct_low,accuracy_95pct_high
IA2,P4,length_cap,10,BA2_cap_5+20,BA2_cap_10,3599,1799,punctuation,0.36075597554196775,0.36086213303604603,0.16666666666666666,0.23290717065036132,,
IA2,P4,length_cap,20,BA2_cap_5+10,BA2_cap_20,3598,1800,punctuation,0.37,0.37000000000000005,0.16666666666666666,0.244,,
IA2,P1,cross_study,BA1_poetry,BA2_poetry,BA1_poetry,5398,180,nonstructural_style,0.43333333333333335,0.43333333333333335,0.16666666666666666,0.32000000000000006,,
IA2,P3,genre,story,BA1_animal+poem,BA1_story,360,180,nonstructural_style,0.24444444444444444,0.24444444444444446,0.16666666666666666,0.09333333333333334,,
IA2,P3,genre,animal,BA1_story+poem,BA1_animal,360,180,nonstructural_style,0.17222222222222222,0.1722222222222222,0.16666666666666666,0.006666666666666676,,
IA2,P3,genre,poem,BA1_story+animal,BA1_poem,360,180,nonstructural_style,0.19444444444444445,0.19444444444444442,0.16666666666666666,0.03333333333333335,,
IA2,P4,phrasing,write,BA2_compose+gimme,BA2_write,3599,1799,nonstructural_style,0.5697609783212896,0.5696897064288369,0.16666666666666666,0.48371317398554753,,
IA2,P4,phrasing,compose,BA2_write+gimme,BA2_compose,3599,1799,nonstructural_style,0.5808782657031685,0.5809810479375697,0.16666666666666666,0.4970539188438022,,
IA2,P4,phrasing,gimme,BA2_write+compose,BA2_gimme,3598,1800,nonstructural_style,0.5244444444444445,0.5244444444444444,0.16666666666666666,0.4293333333333334,,
IA2,P4,length_cap,5,BA2_cap_10+20,BA2_cap_5,3599,1799,nonstructural_style,0.4296831573096164,0.4296098104793757,0.16666666666666666,0.3156197887715397,,
IA2,P4,length_cap,10,BA2_cap_5+20,BA2_cap_10,3599,1799,nonstructural_style,0.5625347415230684,0.5626012634708286,0.16666666666666666,0.4750416898276821,,
IA2,P4,length_cap,20,BA2_cap_5+10,BA2_cap_20,3598,1800,nonstructural_style,0.4961111111111111,0.4961111111111111,0.16666666666666666,0.3953333333333333,,
IA1_summary,IA1,cross_study_size_matched,BA1_poetry,BA2_poetry_balanced_360,BA1_poetry,360,180,full_body,0.46111111111111114,0.4611111111111111,0.16666666666666666,0.3533333333333334,0.40555555555555556,0.5222222222222223
