model,median_recall,mean_recall,recall_95pct_low,recall_95pct_high
claude-haiku-4-5-20251001,0.6666666666666666,0.6535333333333333,0.4666666666666667,0.8
claude-sonnet-4-6,0.5,0.49923333333333336,0.3333333333333333,0.7
claude-opus-4-7,0.06666666666666667,0.07703333333333333,0.0,0.16666666666666666
gpt-5.4-nano,0.6,0.6097666666666667,0.5,0.7
gpt-5.4-mini,0.4666666666666667,0.4584666666666667,0.23333333333333334,0.7
gpt-5.4,0.5,0.4858,0.3,0.6666666666666666
