family,n,models,word_mean,word_sd,char_mean,sent_sem_mean,sent_struct_mean,line_mean,paragraph_mean,title_rate,single_block_rate,meta_preamble_rate,truncation_rate,compliance_sem_rate_constrained,compliance_struct_rate_constrained,formulaicness_mean,type_token_ratio_mean,em_dash_mean,colon_mean,semicolon_mean,comma_mean,question_mean,exclaim_mean,hedge_mean,intensifier_mean,repeated_bigram_types_mean,first_person_mean,second_person_mean,third_person_mean,invented_entity_mean,real_animal_mean,dominant_mood_top,dominant_mood_top_share,dominant_setting_top,dominant_setting_top_share,dominant_plot_arc_top,dominant_plot_arc_top_share,dominant_imagery_top,dominant_imagery_top_share,poetic_mode_top,poetic_mode_top_share,tense_top,tense_top_share,person_top,person_top_share,ending_valence_top,ending_valence_top_share
GPT,270,"gpt-5.4, gpt-5.4-mini, gpt-5.4-nano",115.24814814814815,86.2946533098456,662.1074074074074,7.2444444444444445,7.4148148148148145,7.029629629629629,3.3851851851851853,0.1,0.6555555555555556,0.0,0.08518518518518518,1.0,1.0,1.4814814814814814,0.7858896296296296,0.7814814814814814,0.674074074074074,0.17407407407407408,9.177777777777777,0.1,0.0,0.5925925925925926,0.05555555555555555,2.4518518518518517,0.5370370370370371,0.4074074074074074,7.4,1.7962962962962963,0.15925925925925927,serene,0.5074074074074074,natural,0.7037037037037037,discovery,0.3296296296296296,nature,0.42962962962962964,free_verse_or_narrative,0.37407407407407406,present,0.662962962962963,third,0.7481481481481481,neutral_or_unclear,0.3592592592592593
Claude,270,"claude-haiku-4-5-20251001, claude-opus-4-7, claude-sonnet-4-6",113.30740740740741,61.97869537983047,682.3777777777777,6.377777777777778,6.185185185185185,7.725925925925926,4.5,0.9148148148148149,0.07777777777777778,0.12962962962962962,0.07777777777777778,0.95,0.9333333333333333,1.2962962962962963,0.7741633333333333,0.7074074074074074,0.7296296296296296,0.022222222222222223,8.818518518518518,0.12962962962962962,0.003703703703703704,0.37407407407407406,0.07777777777777778,2.27037037037037,1.1074074074074074,0.5814814814814815,7.203703703703703,2.6185185185185187,0.3,serene,0.5851851851851851,natural,0.6296296296296297,none_detected,0.34814814814814815,light_dark,0.46296296296296297,not_poem_like,0.3962962962962963,present,0.6666666666666666,third,0.7296296296296296,neutral_or_unclear,0.4074074074074074
