model,family,blind_structural,blind_semantic,n,word_mean,word_sd,char_mean,sent_sem_mean,sent_struct_mean,line_mean,paragraph_mean,title_rate,single_block_rate,meta_preamble_rate,truncation_rate,compliance_sem_rate_constrained,compliance_struct_rate_constrained,formulaicness_mean,type_token_ratio_mean,em_dash_mean,colon_mean,semicolon_mean,comma_mean,question_mean,exclaim_mean,hedge_mean,intensifier_mean,repeated_bigram_types_mean,first_person_mean,second_person_mean,third_person_mean,invented_entity_mean,real_animal_mean,dominant_mood_top,dominant_mood_top_share,dominant_setting_top,dominant_setting_top_share,dominant_plot_arc_top,dominant_plot_arc_top_share,dominant_imagery_top,dominant_imagery_top_share,poetic_mode_top,poetic_mode_top_share,tense_top,tense_top_share,person_top,person_top_share,ending_valence_top,ending_valence_top_share
gpt-5.4,GPT,M1,Model A,90,109.66666666666667,84.20187085914289,628.7,7.4,7.766666666666667,6.677777777777778,3.3,0.022222222222222223,0.6444444444444445,0.0,0.05555555555555555,1.0,1.0,1.6888888888888889,0.7921555555555555,0.35555555555555557,0.37777777777777777,0.05555555555555555,9.555555555555555,0.2,0.0,0.5,0.07777777777777778,2.2555555555555555,0.37777777777777777,0.3,6.7555555555555555,1.6555555555555554,0.13333333333333333,serene,0.4777777777777778,natural,0.7333333333333333,none_detected,0.36666666666666664,nature,0.5777777777777777,free_verse_or_narrative,0.4444444444444444,present,0.6555555555555556,third,0.7666666666666667,neutral_or_unclear,0.37777777777777777
gpt-5.4-nano,GPT,M2,Model B,90,119.41111111111111,89.38326697140745,697.6111111111111,7.2555555555555555,7.055555555555555,6.722222222222222,3.1,0.05555555555555555,0.6666666666666666,0.0,0.1111111111111111,1.0,1.0,1.3888888888888888,0.7877055555555555,1.6222222222222222,0.8555555555555555,0.3333333333333333,9.1,0.011111111111111112,0.0,0.6888888888888889,0.0,2.2444444444444445,0.7777777777777778,0.4,8.088888888888889,2.111111111111111,0.24444444444444444,serene,0.5111111111111111,natural,0.5555555555555556,discovery,0.37777777777777777,light_dark,0.5111111111111111,free_verse_or_narrative,0.3333333333333333,present,0.6666666666666666,third,0.7111111111111111,neutral_or_unclear,0.36666666666666664
claude-opus-4-7,Claude,M3,Model C,90,108.63333333333334,58.61269755442707,651.3888888888889,6.033333333333333,5.7444444444444445,6.533333333333333,3.6444444444444444,0.7555555555555555,0.23333333333333334,0.011111111111111112,0.2222222222222222,0.9666666666666667,0.9666666666666667,0.9444444444444444,0.7939311111111111,0.6222222222222222,0.3888888888888889,0.05555555555555555,9.1,0.05555555555555555,0.011111111111111112,0.26666666666666666,0.07777777777777778,2.1777777777777776,1.3333333333333333,0.5888888888888889,6.966666666666667,2.5555555555555554,0.28888888888888886,serene,0.5111111111111111,natural,0.7444444444444445,none_detected,0.45555555555555555,nature,0.4444444444444444,not_poem_like,0.35555555555555557,present,0.6666666666666666,third,0.7888888888888889,neutral_or_unclear,0.5444444444444444
claude-sonnet-4-6,Claude,M4,Model D,90,112.23333333333333,58.62373833720614,667.4444444444445,6.444444444444445,6.355555555555555,9.522222222222222,5.733333333333333,0.9888888888888889,0.0,0.37777777777777777,0.0,0.9833333333333333,0.9833333333333333,1.4444444444444444,0.75061,0.8111111111111111,0.9666666666666667,0.0,8.3,0.17777777777777778,0.0,0.6,0.08888888888888889,2.477777777777778,0.7777777777777778,0.5666666666666667,7.433333333333334,2.7777777777777777,0.34444444444444444,serene,0.6111111111111112,natural,0.5444444444444444,none_detected,0.3333333333333333,light_dark,0.5888888888888889,not_poem_like,0.3888888888888889,present,0.6666666666666666,third,0.7,neutral_or_unclear,0.32222222222222224
gpt-5.4-mini,GPT,M5,Model E,90,116.66666666666667,85.89096825025489,660.0111111111111,7.0777777777777775,7.4222222222222225,7.688888888888889,3.7555555555555555,0.2222222222222222,0.6555555555555556,0.0,0.08888888888888889,1.0,1.0,1.3666666666666667,0.7778077777777779,0.36666666666666664,0.7888888888888889,0.13333333333333333,8.877777777777778,0.08888888888888889,0.0,0.5888888888888889,0.08888888888888889,2.8555555555555556,0.45555555555555555,0.5222222222222223,7.355555555555555,1.6222222222222222,0.1,serene,0.5333333333333333,natural,0.8222222222222222,none_detected,0.32222222222222224,nature,0.5111111111111111,free_verse_or_narrative,0.34444444444444444,present,0.6666666666666666,third,0.7666666666666667,neutral_or_unclear,0.3333333333333333
claude-haiku-4-5-20251001,Claude,M6,Model F,90,119.05555555555556,68.4217524238021,728.3,6.655555555555556,6.455555555555556,7.122222222222222,4.122222222222222,1.0,0.0,0.0,0.011111111111111112,0.9,0.85,1.5,0.7779488888888889,0.6888888888888889,0.8333333333333334,0.011111111111111112,9.055555555555555,0.15555555555555556,0.0,0.25555555555555554,0.06666666666666667,2.1555555555555554,1.211111111111111,0.5888888888888889,7.211111111111111,2.522222222222222,0.26666666666666666,serene,0.6333333333333333,natural,0.6,discovery,0.2777777777777778,light_dark,0.45555555555555555,not_poem_like,0.4444444444444444,present,0.6666666666666666,third,0.7,neutral_or_unclear,0.35555555555555557
