feature,eta_squared_model,eta_squared_genre,eta_squared_model_x_genre,partial_eta_squared_model_x_genre,selected_substantial_model_separation
body_word_count,0.0042321507696644585,0.34758648739727216,0.025005818670403232,0.03857842903672288,False
body_line_count_nonempty,0.01819082523636024,0.08902400928483309,0.02608120486685146,0.02921330447159025,False
body_stanza_count,0.017388157855225298,0.09195259058177735,0.012898857105106692,0.014482370314428089,False
words_per_line_mean,0.07186715858166991,0.31987152688741366,0.05240300177476392,0.08615212002291557,True
words_per_line_sd,0.021765839928104696,0.12746093446457324,0.021083486877218963,0.024781558989669165,False
mean_word_length,0.15532238995190698,0.31964768771488894,0.10848053612313854,0.2066178164495026,True
pos_noun_ratio,0.05695098568214871,0.25709115843453595,0.0359119017362868,0.05235292726554265,False
pos_verb_ratio,0.03424874388919669,0.17899070915271842,0.07631656724938146,0.09700100944874562,False
pos_adj_ratio,0.012746227524094317,0.5936111837048077,0.06309183128298415,0.16027694432136735,False
pos_adv_ratio,0.043455235792027244,0.1385574468952043,0.01835302646097244,0.022436810537925386,False
pos_pronoun_ratio,0.040172766949845486,0.4034028197535627,0.05974627377527563,0.10737536374671787,False
pronoun_1s_share,0.039211285014768706,0.11214378589595442,0.12182889979614672,0.14355697609233037,False
pronoun_1p_share,0.037380293345774446,0.12172048005084465,0.07436621321786598,0.08843653420666253,False
pronoun_2_share,0.0076318169758789476,0.053233423026020264,0.021456778332172487,0.02284739022141602,False
pronoun_3_share,0.007675476079155661,0.6458746616874672,0.026446763187704683,0.07633648060130992,False
em_dash_per_100_words,0.17793116485649252,0.09721857783766473,0.13305819796597934,0.18356646303822288,True
semicolon_per_100_words,0.08212301590395932,0.10121461860678455,0.14564426195112537,0.17834085186951282,True
colon_per_100_words,0.00843732924510971,0.07072641917603308,0.048872132646564946,0.053073641011384204,False
comma_per_100_words,0.013753958531434324,0.44399024947449034,0.04064543697488466,0.07495620623141035,False
exclamation_per_100_words,0.009276437847866416,0.0037105751391465678,0.018552875695732846,0.018796992481203017,False
question_per_100_words,0.025777694818303006,0.03726596428076412,0.03136512388564511,0.03347554471480057,False
ellipsis_per_100_words,0.00927643784786642,0.0037105751391465678,0.018552875695732853,0.01879699248120302,False
