scope,model,n,em_dash_mean_per_100_words,em_dash_prevalence,preamble_rate,title_rate,opening_entropy_bits,opening_top_token,opening_top_share,body_word_count_mean,body_line_count_mean,body_stanza_count_mean,words_per_line_mean_mean,words_per_line_sd_mean,pronoun_1s_share_mean,pronoun_1p_share_mean,pronoun_2_share_mean,pronoun_3_share_mean
BA1_all,claude-haiku-4-5-20251001,90,0.516780230947179,0.4222222222222222,0.0,1.0,3.3983449887720596,the,0.3,116.58888888888889,6.122222222222222,3.1222222222222222,57.04215332869745,3.695351411678509,0.041276227202693735,0.11741843926054452,0.03105712244856547,0.6769148777548628
BA1_all,claude-sonnet-4-6,90,0.6132063769683147,0.4111111111111111,0.37777777777777777,0.7777777777777778,2.0999922969329927,the,0.5555555555555556,108.1,8.366666666666667,4.588888888888889,50.17831276516274,2.9336477319086645,0.0937915862353314,0.06460537918871252,0.059478816307572915,0.6821242182683831
BA1_all,claude-opus-4-7,90,0.6842858933523918,0.45555555555555555,0.011111111111111112,0.7555555555555555,2.44715589195471,the,0.5666666666666667,106.0,5.766666666666667,2.8777777777777778,45.30248035914703,5.9703397336012545,0.08383437742690839,0.013818634766347156,0.03728036405955797,0.7539555126360752
BA1_all,gpt-5.4-nano,90,1.576825121017286,0.7,0.0,0.044444444444444446,2.9463784009893255,mara,0.28888888888888886,119.26666666666667,6.677777777777778,3.066666666666667,33.93121225996226,4.884759216393449,0.16424329271551488,0.04259259259259259,0.046520245359637794,0.7133105359989211
BA1_all,gpt-5.4-mini,90,0.14740349614103201,0.17777777777777778,0.1111111111111111,0.1,2.5190154126566906,the,0.3111111111111111,115.71111111111111,7.477777777777778,3.5444444444444443,29.06644528570734,5.7147772006073065,0.041235539152205715,0.022530864197530854,0.042721349638016166,0.7157344692344693
BA1_all,gpt-5.4,90,0.33192865845964337,0.26666666666666666,0.0,0.011111111111111112,2.960133960190593,at,0.26666666666666666,109.64444444444445,6.666666666666667,3.2888888888888888,25.56821814623285,5.368127347732537,0.06221379074810442,0.02148148148148148,0.03620900093612505,0.7689846157231778
BA1_poetry,claude-haiku-4-5-20251001,30,0.5827321637470245,0.3,0.0,1.0,2.781076011914607,the,0.4,51.766666666666666,8.4,1.9666666666666666,5.957063492063492,0.7233569594909949,0.03333333333333333,0.3465873015873015,0.03166666666666666,0.18841269841269837
BA1_poetry,claude-sonnet-4-6,30,0.7877058316012455,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.21084230031853213,the,0.9666666666666667,54.43333333333333,12.466666666666667,3.0,5.753293103448277,1.177779202796607,0.22199074074074074,0.1917328042328042,0.1106944444444444,0.17558201058201053
BA1_poetry,claude-opus-4-7,30,1.3008833896124945,0.5666666666666667,0.03333333333333333,0.6333333333333333,1.258040253688799,the,0.6333333333333333,56.56666666666667,9.366666666666667,2.3,5.802777777777778,1.0746072339657653,0.1252777777777777,0.030555555555555537,0.04027777777777774,0.47055555555555545
BA1_poetry,gpt-5.4-nano,30,3.1668829618596543,0.9333333333333333,0.0,0.0,1.297626229780677,beneath,0.6,53.5,8.333333333333334,1.9,6.374305555555555,0.8862551176545371,0.46488095238095234,0.12777777777777777,0.0797619047619047,0.22757936507936505
BA1_poetry,gpt-5.4-mini,30,0.22426360178852808,0.23333333333333334,0.3,0.3,1.265559003328221,moonlight,0.6333333333333333,60.56666666666667,9.7,2.1666666666666665,6.264453631504491,1.335796420330367,0.07966931216931213,0.06759259259259257,0.06961640211640203,0.24978835978835973
BA1_poetry,gpt-5.4,30,0.5054154735121705,0.3,0.0,0.0,2.1671334858609224,morning,0.36666666666666664,53.666666666666664,8.133333333333333,1.8666666666666667,6.7458928571428585,0.8746699459565956,0.15,0.06444444444444444,0.07666666666666663,0.3755555555555555
BA2,claude-haiku-4-5-20251001,900,1.4903220348332324,0.5722222222222222,0.005555555555555556,0.9944444444444445,2.595530970516258,the,0.5811111111111111,43.31333333333333,7.216666666666667,1.6655555555555555,6.098019510164376,0.8856202404876355,0.21441225749559079,0.21113359788359787,0.02972663139329805,0.26250529100529096
BA2,claude-sonnet-4-6,900,0.8734377665660155,0.35333333333333333,1.0,0.6655555555555556,0.07238479729738279,the,0.9922222222222222,40.181111111111115,6.628888888888889,1.6366666666666667,6.168993609785276,0.9781837383048203,0.17502533269199932,0.06432142857142856,0.02684215167548499,0.43492219817219807
BA2,claude-opus-4-7,900,2.7214129246746235,0.8844444444444445,0.0,0.6655555555555556,1.0184125925342793,the,0.6566666666666666,47.44777777777778,8.20111111111111,1.9466666666666668,5.814050427255923,1.0127795588086335,0.5064272270938937,0.012797458714125373,0.02493482443482442,0.3280627119793786
BA2,gpt-5.4-nano,899,3.046862677455578,0.9755283648498332,0.0,0.0,2.3071781589869382,beneath,0.43047830923248054,49.38487208008899,7.483870967741935,1.6929922135706341,6.6125887229196465,0.8750899606905379,0.6202552298770316,0.06819261260306864,0.0972857849109239,0.19758116682477073
BA2,gpt-5.4-mini,900,0.2787533975771982,0.1288888888888889,0.0011111111111111111,0.0,1.7201812653364787,moonlight,0.6777777777777778,42.38777777777778,6.6,1.4633333333333334,6.380438561438561,0.9641904126614207,0.20380423280423277,0.04396296296296296,0.011333333333333329,0.4175661375661375
BA2,gpt-5.4,899,1.0241217797713076,0.407119021134594,0.0,0.0,2.623252083824117,morning,0.27474972191323693,48.98442714126808,7.3526140155728585,1.7552836484983314,6.644452754018938,0.8690949760186931,0.2514822465879195,0.06443049596553488,0.04027623285131627,0.35460079100234826
