resample,train_n,test_n,accuracy,balanced_accuracy
0,90,90,0.5888888888888889,0.5888888888888889
1,90,90,0.5222222222222223,0.5222222222222223
2,90,90,0.5777777777777777,0.5777777777777778
3,90,90,0.6111111111111112,0.611111111111111
4,90,90,0.5666666666666667,0.5666666666666667
5,90,90,0.5333333333333333,0.5333333333333333
6,90,90,0.6555555555555556,0.6555555555555556
7,90,90,0.5777777777777777,0.5777777777777778
8,90,90,0.5555555555555556,0.5555555555555555
9,90,90,0.6111111111111112,0.6111111111111112
10,90,90,0.6777777777777778,0.6777777777777777
11,90,90,0.5888888888888889,0.5888888888888889
12,90,90,0.5555555555555556,0.5555555555555555
13,90,90,0.5888888888888889,0.5888888888888889
14,90,90,0.5,0.5
15,90,90,0.6333333333333333,0.6333333333333333
16,90,90,0.5666666666666667,0.5666666666666668
17,90,90,0.5333333333333333,0.5333333333333333
18,90,90,0.5888888888888889,0.5888888888888889
19,90,90,0.5555555555555556,0.5555555555555557
20,90,90,0.5333333333333333,0.5333333333333333
21,90,90,0.5333333333333333,0.5333333333333333
22,90,90,0.5666666666666667,0.5666666666666667
23,90,90,0.6,0.6
24,90,90,0.6222222222222222,0.6222222222222222
25,90,90,0.5111111111111111,0.5111111111111111
26,90,90,0.6111111111111112,0.611111111111111
27,90,90,0.6111111111111112,0.611111111111111
28,90,90,0.5555555555555556,0.5555555555555555
29,90,90,0.6111111111111112,0.611111111111111
30,90,90,0.5333333333333333,0.5333333333333333
31,90,90,0.5666666666666667,0.5666666666666667
32,90,90,0.6555555555555556,0.6555555555555556
33,90,90,0.5777777777777777,0.5777777777777778
34,90,90,0.6111111111111112,0.611111111111111
35,90,90,0.5,0.5
36,90,90,0.5333333333333333,0.5333333333333333
37,90,90,0.6444444444444445,0.6444444444444445
38,90,90,0.5444444444444444,0.5444444444444444
39,90,90,0.5888888888888889,0.5888888888888889
40,90,90,0.5111111111111111,0.5111111111111111
41,90,90,0.5111111111111111,0.5111111111111111
42,90,90,0.6666666666666666,0.6666666666666666
43,90,90,0.6444444444444445,0.6444444444444445
44,90,90,0.5444444444444444,0.5444444444444444
45,90,90,0.6111111111111112,0.6111111111111112
46,90,90,0.5888888888888889,0.5888888888888889
47,90,90,0.5111111111111111,0.5111111111111111
48,90,90,0.6,0.6
49,90,90,0.5888888888888889,0.5888888888888889
