study,n,direct_cap_n,direct_cap_fraction,at_or_above_cap_n,at_or_above_cap_fraction,near_cap_95_n,near_cap_95_fraction,output_tokens_median,output_tokens_p95,output_tokens_max
BA1,540.0,0.0,0.0,44.0,0.08148148148148149,50.0,0.09259259259259259,149.0,400.0,400.0
BA2,5398.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,149.0,255.0
